GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.util.string,StringUtil,155,0,18,0,21,0,12,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums,ECategoria,0,38,0,0,0,6,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums,ETipoSanguineo,22,59,0,0,4,9,3,1,3,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums,ESituacaoMoto,0,17,0,0,0,3,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums,EModalidadeDeCondutor,0,27,0,0,0,4,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums,ETipoPlaca,0,17,0,0,0,3,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.config,SpringTimezoneConfig,0,7,0,0,0,3,0,2,0,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.cliente,ClienteController,287,7,20,0,65,2,24,2,14,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.condutor.validation.contato,TelefoneValidator,15,0,4,0,4,0,4,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.service.RegistroAuditoria.impl,RegistroAuditoriaServiceImpl,124,3,2,0,29,1,6,1,5,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.motocicleta.marca.impl,MotoMarcaServiceImpl,131,3,4,0,30,1,14,1,12,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.funcionario,FuncionarioController,66,3,6,0,16,1,7,1,4,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.dados.formulario,DadosFormularioService,130,3,0,0,34,1,12,1,12,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.datatables,DatatablesColunas,38,0,0,0,3,0,2,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.datatables,Datatables,117,3,2,0,25,2,14,1,13,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.infra.error,MyErrorView,150,7,10,0,35,2,11,2,2,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.enums.converter,TipoSanguineoConverter,14,3,4,0,2,1,4,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.reports.controller,JasperController,47,3,4,0,15,1,4,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.util.enums,ResultadoAtivacao,39,0,0,0,7,0,1,0,1,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.condutor.validation.idademinima,IdadeMinimaValidator,28,0,4,0,8,0,5,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.controllers.conversor,PerfisConverter,35,3,4,0,5,1,3,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.funcionario.impl,FuncionarioServiceImpl,43,3,0,0,10,1,7,1,7,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.email.impl,EmailServiceImpl,145,3,0,0,32,1,2,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.config,SpringJpaAuditingConfig,14,3,4,0,4,1,3,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.model.enums,AcaoAuditoria,49,0,0,0,10,0,3,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.motocicleta.modelo.impl,MotoModeloServiceImpl,149,3,4,0,37,1,16,1,14,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.ponto,PontoController,168,7,14,0,39,2,15,2,8,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.home,HomeController,121,3,2,0,28,1,7,1,6,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.service.RegistroClienteContato.impl,RegistroClienteContatoServiceImpl,133,3,0,0,32,1,5,1,5,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.cliente.impl,ClienteServiceImpl,80,3,4,0,18,1,6,1,4,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.condutor,CondutorController,459,7,18,0,109,2,26,2,17,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.usuario.impl,UsuarioServiceImpl,130,236,19,11,30,63,17,22,7,17
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.motocicleta.validation.anomodelo,AnoModeloValidator,39,0,10,0,12,0,7,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,MotoModelo,0,8,0,0,0,2,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Funcionario,12,3,0,0,6,2,2,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Cliente,9,0,0,0,4,0,2,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Contato,36,0,8,0,10,0,7,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Cnh,0,3,0,0,0,1,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Condutor,0,3,0,0,0,1,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,AbstractEntity,86,10,18,0,20,5,14,3,5,3
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,Motocicleta,0,3,0,0,0,1,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.model.entities,MotoMarca,0,8,0,0,0,2,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.controllers,UsuarioController,310,3,18,0,70,1,24,1,15,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.condutor.impl,CondutorServiceImpl,318,3,20,0,81,1,33,1,23,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.validacao.impl,ValidadorDeContatoServiceImpl,55,3,8,0,8,1,8,1,4,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.mail.impl,MailServiceImpl,6,3,0,0,2,1,1,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.auditoria.controller,RegistroAuditoriaController,47,3,2,0,11,1,3,1,2,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Token,0,4,0,0,0,2,0,1,0,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Usuario,0,69,0,2,0,27,0,15,0,14
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.entities,Perfil,0,12,0,0,0,6,0,2,0,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.infra,SecurityConfiguration,0,355,0,0,0,53,0,16,0,16
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.services.token.impl,TokenServiceImpl,94,8,0,0,22,2,7,2,7,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.util.messages,UtilMessage,297,0,33,0,63,0,25,0,7,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.motocicleta.modelo,MotoModeloController,232,3,14,0,55,1,17,1,10,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.ponto.impl,PontoServiceImpl,154,3,6,0,35,1,17,1,14,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas,CadmototaxistasApplication,5,3,0,0,2,1,1,1,1,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.infra.exception,ExceptionController,132,7,6,0,30,2,7,2,4,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.infra.exception,AcessoNegadoException,4,0,0,0,2,0,1,0,1,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.web.controllers.motocicleta.marca,MotoMarcaController,162,3,14,0,41,1,15,1,8,1
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.condutor.validation.cep,CepValidator,15,0,4,0,4,0,4,0,2,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.enums,PerfilTipo,0,44,0,0,0,10,0,4,0,4
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.security.model.enums,SecureTokenType,42,0,0,0,9,0,3,0,3,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.reports.service,JasperService,70,7,2,0,19,2,4,2,3,2
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.reports.enums,TipoRelatorio,85,0,4,0,15,0,6,0,4,0
cadmototaxistas,br.gov.ba.saj.smtt.cadmototaxistas.service.motocicleta.validation.anofabricacao,AnoFabricacaoValidator,25,0,6,0,6,0,5,0,2,0
